Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Afghanistan,10/10/2020 10:23,33.93911,67.709953,39703,1473,33064,5166,101.9899615,,,3.7100471,4,AFG
Albania,10/10/2020 10:23,41.1533,20.1683,15066,413,9304,5349,523.5249149,,,2.741271738,8,ALB
Algeria,10/10/2020 10:23,28.0339,1.6596,52804,1789,37067,13948,120.4167481,,,3.388000909,12,DZA
Andorra,10/10/2020 10:23,42.5063,1.5218,2696,55,1814,827,3489.290105,,,2.040059347,20,AND
Angola,10/10/2020 10:23,-11.2027,17.8739,6031,212,2685,3134,18.35012116,,,3.515171613,24,AGO
Antigua and Barbuda,10/10/2020 10:23,17.0608,-61.7964,111,3,97,11,113.3485826,,,2.702702703,28,ATG
Argentina,10/10/2020 10:23,-38.4161,-63.6167,871468,23225,697141,151102,1928.206699,,,2.665043352,32,ARG
Armenia,10/10/2020 10:23,40.0691,45.0382,55736,1016,45771,8949,1880.917943,,,1.822879288,51,ARM
Australia,10/10/2020 10:23,-25,133,27244,897,24987,1360,107.0083308,,,3.292468066,36,AUS
Austria,10/10/2020 10:23,47.5162,14.5501,54423,852,42829,10742,604.2702967,,,1.56551458,40,AUT
Azerbaijan,10/10/2020 10:23,40.1431,47.5769,41519,605,39129,1785,409.4909103,,,1.45716419,31,AZE
Bahamas,10/10/2020 10:23,25.025885,-78.035889,4713,102,2607,2004,1198.480348,,,2.164226607,44,BHS
Bahrain,10/10/2020 10:23,26.0275,50.55,74860,271,70406,4183,4399.432763,,,0.362009084,48,BHR
Bangladesh,10/10/2020 10:23,23.685,90.3563,377073,5500,291365,80208,228.9601146,,,1.458603506,50,BGD
Barbados,10/10/2020 10:23,13.1939,-59.5432,204,7,182,15,70.98837391,,,3.431372549,52,BRB
Belarus,10/10/2020 10:23,53.7098,27.9534,82471,885,76543,5043,872.771705,,,1.073104485,112,BLR
Belgium,10/10/2020 10:23,50.8333,4.469936,148981,10151,20072,118758,1285.469683,,,6.813620529,56,BEL
Belize,10/10/2020 10:23,17.1899,-88.4976,2427,35,1487,905,610.3802365,,,1.4421096,84,BLZ
Benin,10/10/2020 10:23,9.3077,2.3158,2411,41,1973,397,19.88749173,,,1.700539195,204,BEN
Bhutan,10/10/2020 10:23,27.5142,90.4336,306,0,282,24,39.65723706,,,0,64,BTN
Bolivia,10/10/2020 10:23,-16.2902,-63.5887,138226,8262,100347,29617,1184.148519,,,5.977167827,68,BOL
Bosnia and Herzegovina,10/10/2020 10:23,43.9159,17.6791,29917,926,23241,5750,911.8770793,,,3.095230137,70,BIH
Botswana,10/10/2020 10:23,-22.3285,24.6849,3219,18,834,2367,136.8840695,,,0.55917987,72,BWA
Brazil,10/10/2020 10:23,-14.235,-51.9253,5055888,149639,4502854,403395,2378.576429,,,2.959697683,76,BRA
Brunei,10/10/2020 10:23,4.5353,114.7277,146,3,143,0,33.37272534,,,2.054794521,96,BRN
Bulgaria,10/10/2020 10:23,42.7339,25.4858,23871,887,15713,7271,343.5444909,,,3.715805789,100,BGR
Burkina Faso,10/10/2020 10:23,12.2383,-1.5616,2254,60,1516,678,10.78299777,,,2.661934339,854,BFA
Burma,10/10/2020 10:23,21.9162,95.956,23906,566,6738,16602,43.93694268,,,2.367606459,104,MMR
Burundi,10/10/2020 10:23,-3.3731,29.9189,515,1,472,42,4.331086411,,,0.194174757,108,BDI
Cabo Verde,10/10/2020 10:23,16.5388,-23.0418,6809,73,5932,804,1224.666719,,,1.072110442,132,CPV
Cambodia,10/10/2020 10:23,11.55,104.9167,283,0,277,6,1.692687905,,,0,116,KHM
Cameroon,10/10/2020 10:23,3.848,11.5021,21203,423,20117,663,79.87308305,,,1.995000707,120,CMR
Canada,10/10/2020 10:23,60.001,-95.001,180625,9638,152046,18941,477.1408017,,,5.335916955,124,CAN
Central African Republic,10/10/2020 10:23,6.6111,20.9394,4853,62,1914,2877,100.4811001,,,1.277560272,140,CAF
Chad,10/10/2020 10:23,15.4542,18.7322,1274,90,1102,82,7.756063168,,,7.064364207,148,TCD
Chile,10/10/2020 10:23,-35.6751,-71.543,477769,13220,450297,14252,2499.287385,,,2.76702758,152,CHL
China,10/10/2020 10:23,30.5928,114.3055,90757,4739,85641,377,6.461061389,,,5.221635797,156,CHN
Colombia,10/10/2020 10:23,4.5709,-74.2973,894300,27495,780547,86258,1757.565471,,,3.074471654,170,COL
Comoros,10/10/2020 10:23,-11.6455,43.3333,495,7,475,13,56.92305039,,,1.414141414,174,COM
Congo (Brazzaville),10/10/2020 10:23,-0.228,15.8277,5118,90,3887,1141,92.74945035,,,1.758499414,178,COG
Congo (Kinshasa),10/10/2020 10:23,-4.0383,21.7587,10841,276,10242,323,12.1045445,,,2.5458906,180,COD
Costa Rica,10/10/2020 10:23,9.7489,-83.7534,86053,1055,52327,32671,1689.263334,,,1.225988635,188,CRI
Cote d'Ivoire,10/10/2020 10:23,7.54,-5.5471,20036,120,19696,220,75.95644522,,,0.598921941,384,CIV
Croatia,10/10/2020 10:23,45.1,15.2,19932,317,16953,2662,485.5225043,,,1.590407385,191,HRV
Cuba,10/10/2020 10:23,21.521757,-77.781167,5943,123,5398,422,52.46933418,,,2.069661787,192,CUB
Cyprus,10/10/2020 10:23,35.1264,33.4299,1951,25,1369,557,161.5921005,,,1.281394157,196,CYP
Czechia,10/10/2020 10:23,49.8175,15.473,109374,905,53173,55296,1021.329572,,,0.827436137,203,CZE
Denmark,10/10/2020 10:23,56.2639,9.5018,32131,665,25975,5491,554.7284859,,,2.069652361,208,DNK
Diamond Princess,10/10/2020 10:23,,,712,13,659,40,,,,1.825842697,9999,
Djibouti,10/10/2020 10:23,11.8251,42.5903,5423,61,5355,7,548.8855286,,,1.12483865,262,DJI
Dominica,10/10/2020 10:23,15.415,-61.371,32,0,24,8,44.45000069,,,0,212,DMA
Dominican Republic,10/10/2020 10:23,18.7357,-70.1627,117457,2165,93061,22231,1082.762163,,,1.843227734,214,DOM
Ecuador,10/10/2020 10:23,-1.8312,-78.1834,145848,12175,120511,13162,826.659321,,,8.347731885,218,ECU
Egypt,10/10/2020 10:23,26.820553,30.802498,104262,6029,97592,641,101.8836256,,,5.782547812,818,EGY
El Salvador,10/10/2020 10:23,13.7942,-88.8965,29951,887,24995,4069,461.7649068,,,2.96150379,222,SLV
Equatorial Guinea,10/10/2020 10:23,1.6508,10.2679,5063,83,4894,86,360.8734235,,,1.639344262,226,GNQ
Eritrea,10/10/2020 10:23,15.1794,39.7823,405,0,364,41,11.41994464,,,0,232,ERI
